geo,text,user,location,entities,sentiment,country
,What is God saying to us about #coronavirus ?,petodinice,Lagos,"[('about #', 'CARDINAL')]","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2732}",Nigeria
,"BREAKING: ""this is disappointing, but i took the test"". Arsenal's Mikel Arteta tests positive for #coronavirus,  -… ",JerryfranksonJF,"Abuja, Nigeria","[(""Arsenal's Mikel Arteta"", 'ORG'), '']","{'neg': 0.1, 'neu': 0.667, 'pos': 0.233, 'compound': 0.5859}",Nigeria
, #Coronavirus testing must be made free to the public if we are going to understand the scope of this crisis. Anything le…,cek422,"Pennsylvania, USA",[],"{'neg': 0.173, 'neu': 0.71, 'pos': 0.117, 'compound': -0.3767}",USA
, Get ready for mass event crowd cancellations across the World starting this weekend: cricket in #Australia in empty st…,InfectiousDz,NYC,"[('World', 'ORG'), ('this weekend', 'DATE'), '']","{'neg': 0.085, 'neu': 0.798, 'pos': 0.117, 'compound': 0.1779}",USA
, The #coronavirus pandemic is revealing just how closely we are all bound together...[A thread] ,vic_gibson,,[''],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",
," COVID-19 update as of this morning:1. Death toll in Italy passes 1,0002. Arsenal's head coach Arteta tests positive3. US…",StewartNgilana,Durban | Port Elizabeth,"[('Italy', 'GPE'), ('1,0002', 'CARDINAL'), ('Arsenal', 'ORG'), ('Arteta', 'ORG'), ('US', 'GPE')]","{'neg': 0.178, 'neu': 0.822, 'pos': 0.0, 'compound': -0.5994}",USA
," It’s painful to say, but as an ER doc who talked to  about healthcare, I believe he's uniquely unqualified to…",BWheatnyc,Florida,[],"{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.2382}",USA
," 📽️Friends, I will drop another video on Twitter tonight around 7:30pm to answer your questions about #coronavirus.Plea…",LorseaR,"New South Wales, Australia","[('Twitter', 'GPE'), ('tonight', 'TIME')]","{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.2732}",Australia
," Questions about COVID-19? See this resource and info page from NAfME for music educators, including music instrument hygiene: ht…",straightj23,"Columbus, OH","[('NAfME', 'CARDINAL')]","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",USA
,"How they’re dealing with #coronavirus in a public facility in Portsmouth, Uk. Yes, that’s a coronavirus warning sig… ",_______coolio,"South East, England","['', ('Portsmouth', 'GPE'), ('Uk', 'GPE')]","{'neg': 0.126, 'neu': 0.733, 'pos': 0.141, 'compound': 0.0772}",UK
