website,url,headline,entities
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,What you need to know,[]
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Arlington National Cemetery will close to visitors beginning Friday,"[('Arlington National Cemetery', 'ORG'), ('Friday', 'DATE')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,"Brazil's president says he expects results from his coronavirus test ""in the next hours""","[('Brazil', 'GPE'), ('the next hours', 'TIME')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,House plans to move coronavirus bill quickly tonight when an agreement is reached,"[('House', 'ORG'), ('tonight', 'TIME')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,US Southern Command says there are no reports of coronavirus following Brazilian president's visit,"[('US Southern Command', 'ORG'), ('Brazilian', 'NORP')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Head coach of English football club tests positive for coronavirus,"[('English', 'NORP')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,"Cleveland Cavaliers player donates $100,000 to support staff affected by NBA cancellations","[('Cleveland Cavaliers', 'ORG'), ('100,000', 'MONEY'), ('NBA', 'ORG')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Illinois issues guidance on large-scale gatherings,"[('Illinois', 'GPE')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,Smithsonian Museums and National Zoo close to the public,"[('Smithsonian Museums', 'PERSON'), ('National Zoo', 'ORG')]"
CNN,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,School districts across Georgia to close due to the coronavirus,"[('Georgia', 'GPE')]"
NBC,https://www.nbcnews.com/health/coronavirus,"From business to sports to politics, coronavirus reaching into every aspect of daily life",[]
NBC,https://www.nbcnews.com/health/coronavirus,"One hour, three massive stories. On the other side, a different reality for Americans.","[('One hour', 'TIME'), ('three', 'CARDINAL'), ('Americans', 'NORP')]"
NBC,https://www.nbcnews.com/health/coronavirus,Chart: See the day-by-day size of the coronavirus outbreak,"[('day', 'DATE')]"
NBC,https://www.nbcnews.com/health/coronavirus,Brazilian official who met Trump at Mar-a-Lago tests positive for coronavirus,"[('Brazilian', 'NORP'), ('Trump', 'PERSON')]"
NBC,https://www.nbcnews.com/health/coronavirus,Staying in due to the coronavirus?  Here's what to stock in your fridge and pantry,[]
NBC,https://www.nbcnews.com/health/coronavirus,"Cuba confirms first coronavirus cases, tells people to make their own masks","[('Cuba', 'GPE'), ('first', 'ORDINAL')]"
NBC,https://www.nbcnews.com/health/coronavirus,"Coronavirus could 'wreak havoc' on U.S. jails, experts warn","[('U.S.', 'GPE')]"
NBC,https://www.nbcnews.com/health/coronavirus,Pence says there's been 'irresponsible rhetoric' from people downplaying the coronavirus,"[('Pence', 'ORG')]"
NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus scammers are seeking to profit off the deadly virus,[]
NBC,https://www.nbcnews.com/health/coronavirus,Trump imposes major restrictions on travel from Europe,"[('Trump', 'ORG'), ('Europe', 'LOC')]"
NBC,https://www.nbcnews.com/health/coronavirus,"Map: Confirmed coronavirus cases, worldwide",[]
NBC,https://www.nbcnews.com/health/coronavirus,NCAA limits March Madness attendance as coronavirus hits U.S. athletics,"[('NCAA', 'ORG'), ('March', 'DATE'), ('U.S.', 'GPE')]"
NBC,https://www.nbcnews.com/health/coronavirus,"Dow enters bear territory, plunging by more than 1,400 points","[('more than 1,400', 'CARDINAL')]"
NBC,https://www.nbcnews.com/health/coronavirus,"Amid coronavirus spread, health advocates worry Trump's immigration policies put public at risk","[('Trump', 'ORG')]"
NBC,https://www.nbcnews.com/health/coronavirus,Asian woman attacked in New York City in possible coronavirus bias crime,"[('Asian', 'NORP'), ('New York City', 'GPE')]"
NBC,https://www.nbcnews.com/health/coronavirus,"On Amazon, fake authors and plagiarized books ride wave of coronavirus interest","[('Amazon', 'ORG')]"
NBC,https://www.nbcnews.com/health/coronavirus,'Cataclysm for our economy': Latin Americans brace for coronavirus impact,"[('Cataclysm', 'ORG'), ('Latin Americans', 'NORP')]"
NBC,https://www.nbcnews.com/health/coronavirus,People are coming together across U.S. to support local Chinatowns,"[('U.S.', 'GPE'), ('Chinatowns', 'PERSON')]"
NBC,https://www.nbcnews.com/health/coronavirus,New to telecommuting? Here are 8 rules you should follow.,"[('8', 'CARDINAL')]"
NBC,https://www.nbcnews.com/health/coronavirus,Store owner charged after homemade spray sanitizer burns youths,[]
NBC,https://www.nbcnews.com/health/coronavirus,N.Y. Gov. Cuomo questions low coronavirus test rate,"[('Cuomo', 'PERSON')]"
NBC,https://www.nbcnews.com/health/coronavirus,'I don't know when I'll see you again': Coronavirus lockdown separates couple married 58 years,"[('58 years', 'DATE')]"
NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus: What you need to know,[]
NBC,https://www.nbcnews.com/health/coronavirus,Photos capture empty cities across the globe,[]
NBC,https://www.nbcnews.com/health/coronavirus,His team was close to a coronavirus vaccine. Today he told Congress why it's sitting in a freezer.,"[('Today', 'DATE'), ('Congress', 'ORG')]"
NBC,https://www.nbcnews.com/health/coronavirus,"Coronavirus patient explains what the illness feels like, conditions in quarantine",[]
NBC,https://www.nbcnews.com/health/coronavirus,"Coronavirus updates live: U.S. cases top 1,000","[('U.S.', 'GPE'), ('1,000', 'CARDINAL')]"
NBC,https://www.nbcnews.com/health/coronavirus,New York biotech company works to make antibody treatment for coronavirus,"[('New York', 'GPE')]"
NBC,https://www.nbcnews.com/health/coronavirus,Couple on Grand Princess cruise ship carrying coronavirus patients sues for $1 million,"[('$1 million', 'MONEY')]"
NBC,https://www.nbcnews.com/health/coronavirus,"The U.S. has tested more than 8,500 specimens for coronavirus. That doesn't equal 8,500 patients.","[('U.S.', 'GPE'), ('more than 8,500', 'CARDINAL'), ('8,500', 'CARDINAL')]"
NBC,https://www.nbcnews.com/health/coronavirus,Carmakers — and car owners — could soon feel the impact of the coronavirus,[]
NBC,https://www.nbcnews.com/health/coronavirus,Chinese restaurant chain booting diners with fever amid coronavirus outbreak,"[('Chinese', 'NORP')]"
NBC,https://www.nbcnews.com/health/coronavirus,Italians wake up to virtual standstill after sweeping quarantine measures announced,"[('Italians', 'NORP')]"
NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus forces 'Jeopardy!' and 'Wheel of Fortune' to tape without live audience,"[(""'Wheel of Fortune"", 'WORK_OF_ART')]"
NBC,https://www.nbcnews.com/health/coronavirus,"As coronavirus spreads, students stuck and isolated in epidemic's epicenter",[]
NBC,https://www.nbcnews.com/health/coronavirus,"Trump proposes payroll tax cut, other measures to offset coronavirus economic damage","[('Trump', 'ORG')]"
NBC,https://www.nbcnews.com/health/coronavirus,Father of coronavirus patient broke quarantine. How can health officials enforce rules?,[]
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,Latest news for health care. ,[]
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"New York's attorney general said Thursday that her office has ordered InfoWar's Alex Jones to immediately stop selling and marketing products as a ""cure"" or ""treatment"" for the coronavirus.","[(""New York's"", 'GPE'), ('Thursday', 'DATE'), ('InfoWar', 'ORG'), ('Alex Jones', 'PERSON')]"
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"Some doctors and nurses lack childcare in regions hard hit by the coronavirus, like Seattle. Schools and some day care centers are closing. But they're needed more than ever as the coronavirus continues its spread.","[('Seattle', 'GPE')]"
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"Unlike employees at Amazon's corporate offices, many fulfillment center employees and delivery drivers cannot carry out their job duties while working from home.","[('Amazon', 'ORG')]"
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"Amazon, like other e-commerce companies, has struggled to police sellers who have sought to take advantage of the panic and flooded online marketplaces with overpriced goods.","[('Amazon', 'ORG')]"
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,Large venues such as Barclays Center and Madison Square Garden will likely be closed for months as officials try to contain the fast-spreading coronavirus.,"[('Barclays Center', 'ORG'), ('Madison Square Garden', 'FAC'), ('months', 'DATE')]"
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"New York City Mayor Bill de Blasio is holding a press conference to update the public on the coronavirus outbreak, which has infected 328 people across the state as of Thursday afternoon.","[('New York City', 'GPE'), ('Bill de Blasio', 'PERSON'), ('328', 'CARDINAL'), ('Thursday', 'DATE'), ('afternoon', 'TIME')]"
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"Trump's European travel restrictions could further strain airlines and drive some of them out of business, a trade group warned.","[('Trump', 'ORG'), ('European', 'NORP')]"
CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"The mayor of Jersey City, New Jersey, implemented a 10 p.m. curfew Thursday for any of the city's establishments that carry a liquor license.","[('Jersey City', 'GPE'), ('New Jersey', 'GPE'), ('10 p.m.', 'TIME'), ('Thursday', 'DATE')]"
